"table_name","column_name","data_type","is_nullable"
"brand_context","id","integer","NO"
"brand_context","run_id","text","NO"
"brand_context","brand_promise","text","YES"
"brand_context","brand_personality","ARRAY","YES"
"brand_context","brand_tone_of_voice","text","YES"
"brand_context","brand_values","ARRAY","YES"
"brand_context","brand_purpose","text","YES"
"brand_context","brand_mission","text","YES"
"brand_context","target_audience","text","YES"
"brand_context","customer_needs","ARRAY","YES"
"brand_context","market_positioning","text","YES"
"brand_context","competitive_landscape","text","YES"
"brand_context","industry_focus","text","YES"
"brand_context","industry_trends","ARRAY","YES"
"brand_context","brand_identity_brief","jsonb","YES"
"brand_name_evaluation","id","integer","NO"
"brand_name_evaluation","run_id","text","NO"
"brand_name_evaluation","brand_name","text","NO"
"brand_name_evaluation","strategic_alignment_score","integer","YES"
"brand_name_evaluation","distinctiveness_score","integer","YES"
"brand_name_evaluation","memorability_score","integer","YES"
"brand_name_evaluation","pronounceability_score","integer","YES"
"brand_name_evaluation","meaningfulness_score","integer","YES"
"brand_name_evaluation","brand_fit_score","integer","YES"
"brand_name_evaluation","domain_viability_score","integer","YES"
"brand_name_evaluation","overall_score","integer","YES"
"brand_name_evaluation","shortlist_status","boolean","NO"
"brand_name_evaluation","evaluation_comments","text","YES"
"brand_name_evaluation","created_at","timestamp without time zone","YES"
"brand_name_evaluation","rank","numeric","YES"
"brand_name_generation","id","integer","NO"
"brand_name_generation","run_id","text","NO"
"brand_name_generation","brand_name","text","NO"
"brand_name_generation","naming_category","text","YES"
"brand_name_generation","brand_personality_alignment","text","YES"
"brand_name_generation","brand_promise_alignment","text","YES"
"brand_name_generation","target_audience_relevance","text","YES"
"brand_name_generation","market_differentiation","text","YES"
"brand_name_generation","memorability_score","double precision","YES"
"brand_name_generation","pronounceability_score","double precision","YES"
"brand_name_generation","visual_branding_potential","text","YES"
"brand_name_generation","name_generation_methodology","text","YES"
"brand_name_generation","timestamp","timestamp without time zone","YES"
"brand_name_generation","rank","numeric","YES"
"competitor_analysis","id","integer","NO"
"competitor_analysis","run_id","text","NO"
"competitor_analysis","competitor_name","text","NO"
"competitor_analysis","competitor_naming_style","text","YES"
"competitor_analysis","competitor_keywords","text","YES"
"competitor_analysis","competitor_positioning","text","YES"
"competitor_analysis","competitor_strengths","text","YES"
"competitor_analysis","competitor_weaknesses","text","YES"
"competitor_analysis","competitor_differentiation_opportunity","text","YES"
"competitor_analysis","brand_name","text","NO"
"competitor_analysis","differentiation_score","double precision","YES"
"competitor_analysis","risk_of_confusion","double precision","YES"
"competitor_analysis","target_audience_perception","text","YES"
"competitor_analysis","competitive_advantage_notes","text","YES"
"competitor_analysis","trademark_conflict_risk","text","YES"
"competitor_analysis","timestamp","timestamp without time zone","YES"
"cultural_sensitivity_analysis","id","integer","NO"
"cultural_sensitivity_analysis","run_id","text","NO"
"cultural_sensitivity_analysis","brand_name","text","NO"
"cultural_sensitivity_analysis","cultural_connotations","text","YES"
"cultural_sensitivity_analysis","symbolic_meanings","text","YES"
"cultural_sensitivity_analysis","alignment_with_cultural_values","text","YES"
"cultural_sensitivity_analysis","religious_sensitivities","text","YES"
"cultural_sensitivity_analysis","social_political_taboos","text","YES"
"cultural_sensitivity_analysis","body_part_bodily_function_connotations","boolean","YES"
"cultural_sensitivity_analysis","age_related_connotations","text","YES"
"cultural_sensitivity_analysis","gender_connotations","text","YES"
"cultural_sensitivity_analysis","regional_variations","text","YES"
"cultural_sensitivity_analysis","historical_meaning","text","YES"
"cultural_sensitivity_analysis","current_event_relevance","text","YES"
"cultural_sensitivity_analysis","overall_risk_rating","text","YES"
"cultural_sensitivity_analysis","notes","text","YES"
"cultural_sensitivity_analysis","rank","numeric","YES"
"domain_analysis","id","integer","NO"
"domain_analysis","run_id","text","NO"
"domain_analysis","brand_name","text","NO"
"domain_analysis","domain_exact_match","boolean","YES"
"domain_analysis","alternative_tlds","ARRAY","YES"
"domain_analysis","misspellings_variations_available","boolean","YES"
"domain_analysis","domain_history_reputation","text","YES"
"domain_analysis","acquisition_cost","text","YES"
"domain_analysis","seo_keyword_relevance","text","YES"
"domain_analysis","domain_length_readability","text","YES"
"domain_analysis","hyphens_numbers_present","boolean","YES"
"domain_analysis","brand_name_clarity_in_url","text","YES"
"domain_analysis","social_media_availability","ARRAY","YES"
"domain_analysis","idn_support_needed","boolean","YES"
"domain_analysis","security_privacy_recommendations","text","YES"
"domain_analysis","scalability_future_proofing","text","YES"
"domain_analysis","notes","text","YES"
"domain_analysis","rank","numeric","YES"
"linguistic_analysis","id","integer","NO"
"linguistic_analysis","run_id","text","NO"
"linguistic_analysis","brand_name","text","NO"
"linguistic_analysis","pronunciation_ease","text","YES"
"linguistic_analysis","euphony_vs_cacophony","text","YES"
"linguistic_analysis","rhythm_and_meter","text","YES"
"linguistic_analysis","phoneme_frequency_distribution","text","YES"
"linguistic_analysis","sound_symbolism","text","YES"
"linguistic_analysis","word_class","text","YES"
"linguistic_analysis","morphological_transparency","text","YES"
"linguistic_analysis","grammatical_gender","text","YES"
"linguistic_analysis","inflectional_properties","text","YES"
"linguistic_analysis","ease_of_marketing_integration","text","YES"
"linguistic_analysis","naturalness_in_collocations","text","YES"
"linguistic_analysis","homophones_homographs","boolean","YES"
"linguistic_analysis","semantic_distance_from_competitors","text","YES"
"linguistic_analysis","neologism_appropriateness","text","YES"
"linguistic_analysis","overall_readability_score","text","YES"
"linguistic_analysis","notes","text","YES"
"linguistic_analysis","rank","numeric","YES"
"process_logs","id","integer","NO"
"process_logs","run_id","text","NO"
"process_logs","agent_type","text","NO"
"process_logs","task_name","text","NO"
"process_logs","status","text","NO"
"process_logs","start_time","timestamp without time zone","YES"
"process_logs","end_time","timestamp without time zone","YES"
"process_logs","duration_sec","integer","YES"
"process_logs","error_message","text","YES"
"process_logs","last_updated","timestamp without time zone","NO"
"process_logs","retry_count","integer","YES"
"process_logs","last_retry_at","timestamp without time zone","YES"
"process_logs","retry_status","text","YES"
"process_logs","execution_duration_ms","integer","YES"
"process_logs","input_size_kb","integer","YES"
"process_logs","output_size_kb","integer","YES"
"quality_assurance_logs","id","integer","NO"
"quality_assurance_logs","run_id","text","NO"
"quality_assurance_logs","qa_notes","jsonb","NO"
"quality_assurance_logs","status","text","NO"
"quality_assurance_logs","created_at","timestamp without time zone","YES"
"quality_assurance_logs","last_updated","timestamp without time zone","YES"
"report_compilation","id","integer","NO"
"report_compilation","run_id","text","NO"
"report_compilation","report_url","text","NO"
"report_compilation","version","integer","NO"
"report_compilation","created_at","timestamp without time zone","NO"
"report_compilation","last_updated","timestamp without time zone","YES"
"report_compilation","format","text","NO"
"report_compilation","file_size_kb","integer","YES"
"report_compilation","notes","text","YES"
"semantic_analysis","id","integer","NO"
"semantic_analysis","run_id","text","NO"
"semantic_analysis","task_name","text","NO"
"semantic_analysis","brand_name","text","NO"
"semantic_analysis","denotative_meaning","text","YES"
"semantic_analysis","etymology","text","YES"
"semantic_analysis","descriptiveness","numeric","YES"
"semantic_analysis","concreteness","numeric","YES"
"semantic_analysis","emotional_valence","text","YES"
"semantic_analysis","brand_personality","text","YES"
"semantic_analysis","sensory_associations","text","YES"
"semantic_analysis","figurative_language","text","YES"
"semantic_analysis","ambiguity","boolean","YES"
"semantic_analysis","irony_or_paradox","boolean","YES"
"semantic_analysis","humor_playfulness","boolean","YES"
"semantic_analysis","phoneme_combinations","text","YES"
"semantic_analysis","sound_symbolism","text","YES"
"semantic_analysis","rhyme_rhythm","boolean","YES"
"semantic_analysis","alliteration_assonance","boolean","YES"
"semantic_analysis","word_length_syllables","integer","YES"
"semantic_analysis","compounding_derivation","text","YES"
"semantic_analysis","brand_name_type","text","YES"
"semantic_analysis","memorability_score","numeric","YES"
"semantic_analysis","pronunciation_ease","numeric","YES"
"semantic_analysis","clarity_understandability","numeric","YES"
"semantic_analysis","uniqueness_differentiation","numeric","YES"
"semantic_analysis","brand_fit_relevance","numeric","YES"
"semantic_analysis","semantic_trademark_risk","text","YES"
"semantic_analysis","rank","numeric","YES"
"seo_online_discoverability","id","integer","NO"
"seo_online_discoverability","run_id","text","NO"
"seo_online_discoverability","brand_name","text","NO"
"seo_online_discoverability","keyword_alignment","text","YES"
"seo_online_discoverability","search_volume","numeric","YES"
"seo_online_discoverability","keyword_competition","text","YES"
"seo_online_discoverability","branded_keyword_potential","text","YES"
"seo_online_discoverability","non_branded_keyword_potential","text","YES"
"seo_online_discoverability","exact_match_search_results","text","YES"
"seo_online_discoverability","competitor_domain_strength","text","YES"
"seo_online_discoverability","name_length_searchability","text","YES"
"seo_online_discoverability","unusual_spelling_impact","boolean","YES"
"seo_online_discoverability","content_marketing_opportunities","text","YES"
"seo_online_discoverability","social_media_availability","boolean","YES"
"seo_online_discoverability","social_media_discoverability","text","YES"
"seo_online_discoverability","negative_keyword_associations","text","YES"
"seo_online_discoverability","negative_search_results","boolean","YES"
"seo_online_discoverability","seo_viability_score","numeric","YES"
"seo_online_discoverability","seo_recommendations","text","YES"
"seo_online_discoverability","timestamp","timestamp without time zone","YES"
"survey_simulation","id","integer","NO"
"survey_simulation","run_id","text","NO"
"survey_simulation","brand_name","text","NO"
"survey_simulation","persona_segment","ARRAY","NO"
"survey_simulation","brand_promise_perception_score","numeric","YES"
"survey_simulation","personality_fit_score","numeric","YES"
"survey_simulation","emotional_association","ARRAY","NO"
"survey_simulation","functional_association","ARRAY","NO"
"survey_simulation","competitive_differentiation_score","numeric","YES"
"survey_simulation","psychometric_sentiment_mapping","jsonb","NO"
"survey_simulation","competitor_benchmarking_score","numeric","YES"
"survey_simulation","simulated_market_adoption_score","numeric","YES"
"survey_simulation","qualitative_feedback_summary","text","NO"
"survey_simulation","raw_qualitative_feedback","jsonb","NO"
"survey_simulation","final_survey_recommendation","text","NO"
"survey_simulation","strategic_ranking","integer","NO"
"survey_simulation","timestamp","timestamp without time zone","YES"
"translation_analysis","id","integer","NO"
"translation_analysis","run_id","text","NO"
"translation_analysis","brand_name","text","NO"
"translation_analysis","target_language","text","NO"
"translation_analysis","direct_translation","text","YES"
"translation_analysis","semantic_shift","text","YES"
"translation_analysis","pronunciation_difficulty","text","YES"
"translation_analysis","phonetic_similarity_undesirable","boolean","YES"
"translation_analysis","phonetic_retention","text","YES"
"translation_analysis","cultural_acceptability","text","YES"
"translation_analysis","adaptation_needed","boolean","YES"
"translation_analysis","proposed_adaptation","text","YES"
"translation_analysis","brand_essence_preserved","text","YES"
"translation_analysis","global_consistency_vs_localization","text","YES"
"translation_analysis","notes","text","YES"
"translation_analysis","rank","numeric","YES"