"column_name","data_type","is_nullable","character_maximum_length","numeric_precision","numeric_scale"
"id","integer","NO","null","32","0"
"run_id","text","NO","null","null","null"
"brand_name","text","NO","null","null","null"
"naming_category","text","YES","null","null","null"
"brand_personality_alignment","text","YES","null","null","null"
"brand_promise_alignment","text","YES","null","null","null"
"target_audience_relevance","text","YES","null","null","null"
"market_differentiation","text","YES","null","null","null"
"memorability_score","double precision","YES","null","53","null"
"pronounceability_score","double precision","YES","null","53","null"
"visual_branding_potential","text","YES","null","null","null"
"name_generation_methodology","text","YES","null","null","null"
"timestamp","timestamp without time zone","YES","null","null","null"
"rank","numeric","YES","null","null","null"